IdAluno,idPolo,Nome,Sobrenome,Idade,Etnia,Genero,UF,contactPhoto,email,endereco,cidade
302711046222651896465336623286098068408,302686481213951698752471606189409698744,Dra. Cecília Melo,Melo,25,Cafuzo,Feminino,MG,https://i.pinimg.com/736x/a9/ad/77/a9ad77698ef583b4bd0f972aa20a0519.jpg,draceciliamelo@outlook.com.br,Jardim Diego da Rocha,Mendes
304847036137157700266945954633346188216,302687278011582104706207558134915138488,Cecília da Paz,Paz,16,Branco,Masculino,PI,http://sc04.alicdn.com/kf/H506e860dada5440c8a29672e84a15a66q.jpg,ceciliadapaz@hotmail.com.br,Vereda Rezende,Gonçalves
305555332740908722873291457079172924344,302686481134723536236150812416017695672,Luiz Otávio Aragão,Aragão,25,Negro,Masculino,AM,https://i.pinimg.com/736x/57/c1/fb/57c1fb34f435bb21c86cfd3ab4d46d7a.jpg,luizotavioaragao@hotmail.com,Via da Costa,Mendes da Mata
306069523911767110994090480059078149048,302687278011582104706207558134915138488,João Miguel Cardoso,Cardoso,14,Pardo,Masculino,RJ,http://sc04.alicdn.com/kf/H506e860dada5440c8a29672e84a15a66q.jpg,joaomiguelcardoso@hotmail.com.br,Vereda Souza,Araújo
306533009137844532456983956682453550008,302687278011582104706207558134915138488,Evelyn Caldeira,Caldeira,16,Indígena,Feminino,RJ,https://i0.wp.com/www.portaldodog.com.br/cachorros/wp-content/uploads/2019/12/dogue-de-bordeaux-1047521_1280.jpg?fit=1000%2C666&ssl=1&resize=1280%2C720,evelyncaldeira@hotmail.com,Residencial Costela,Lopes de Ferreira
307759461727390644517085842803769213880,302686481134723536236150812416017695672,Thiago Rocha,Rocha,26,Caboclo,Feminino,MG,https://i.pinimg.com/736x/57/c1/fb/57c1fb34f435bb21c86cfd3ab4d46d7a.jpg,thiagorocha@hotmail.com,Chácara de Gonçalves,da Cruz do Amparo
308741889516460597045243028757129987000,302686481213951698752471606189409698744,Mariana Gomes,Gomes,20,Pardo,Feminino,MG,http://sc04.alicdn.com/kf/H506e860dada5440c8a29672e84a15a66q.jpg,marianagomes@instituicao.com.br,Jardim Maria Clara Ramos,Rodrigues
309345607084853178610191878139517600696,302687278011582104706207558134915138488,Vitor Gabriel das Neves,Neves,14,Pardo,Masculino,SP,https://i2.wp.com/gatinhobranco.com/wp-content/uploads/2018/02/pounce-livro-gatinhos-pulando-fotografia.jpg?fit=932%2C500&ssl=1,vitorgabrieldasneves@instituicao.com.br,Morro da Conceição,Farias
309943781137942799618706862556276065208,302686481213951698752471606189409698744,Bryan da Costa,Costa,24,Indígena,Feminino,SC,"https://super.abril.com.br/wp-content/uploads/2016/11/gatinhos-filhotes-reconhecem-a-voz-da-prc3b3pria-mc3a3e.jpg?resize=630,420",bryandacosta@yahoo.com.br,Morro Cavalcanti,Ribeiro Grande
311022866492998529495758003745646183352,302687278011582104706207558134915138488,Bernardo Silva,Silva,20,Branco,Feminino,SP,http://sc04.alicdn.com/kf/H506e860dada5440c8a29672e84a15a66q.jpg,bernardosilva@hotmail.com.br,Condomínio Miguel da Mota,Rocha
311434853017300866567752406920297972664,302687278011582104706207558134915138488,Luiz Otávio Araújo,Araújo,16,Indígena,Feminino,RJ,https://i.pinimg.com/736x/57/c1/fb/57c1fb34f435bb21c86cfd3ab4d46d7a.jpg,luizotavioaraujo@hotmail.com.br,Condomínio Moreira,Rocha
311974397675532794362103776180837811128,302687278011582104706207558134915138488,Sophia Porto,Porto,22,Pardo,Feminino,SP,https://i0.wp.com/www.portaldodog.com.br/cachorros/wp-content/uploads/2019/12/dogue-de-bordeaux-1047521_1280.jpg?fit=1000%2C666&ssl=1&resize=1280%2C720,sophiaporto@outlook.com.br,Largo Isabella Souza,Cardoso
312769065969843017438808810897935696824,302686481134723536236150812416017695672,Anthony Moraes,Moraes,17,Branco,Masculino,MA,https://i.pinimg.com/736x/57/c1/fb/57c1fb34f435bb21c86cfd3ab4d46d7a.jpg,anthonymoraes@hotmail.com,Vale Gonçalves,Ferreira
315738527755813655554729195813441110968,302686481134723536236150812416017695672,Erick Cavalcanti,Cavalcanti,18,Branco,Não-binário,SP,"https://super.abril.com.br/wp-content/uploads/2016/11/gatinhos-filhotes-reconhecem-a-voz-da-prc3b3pria-mc3a3e.jpg?resize=630,420",erickcavalcanti@hotmail.com,Lago Yuri Porto,da Conceição Verde
316545861701867896469448425569889027000,302686481134723536236150812416017695672,Davi Monteiro,Monteiro,25,Pardo,Masculino,SP,"https://super.abril.com.br/wp-content/uploads/2016/11/gatinhos-filhotes-reconhecem-a-voz-da-prc3b3pria-mc3a3e.jpg?resize=630,420",davimonteiro@yahoo.com.br,Chácara de Porto,Moura Paulista
316953094457191215163668183358271390648,302687278011582104706207558134915138488,Sra. Maria Clara Costa,Costa,19,Cafuzo,Masculino,SP,https://i2.wp.com/gatinhobranco.com/wp-content/uploads/2018/02/pounce-livro-gatinhos-pulando-fotografia.jpg?fit=932%2C500&ssl=1,sramariaclaracosta@yahoo.com.br,Estrada de Silveira,Caldeira do Sul
317642382164822840386524793815058088888,302686481134723536236150812416017695672,Olivia Fernandes,Fernandes,17,Pardo,Masculino,SC,https://static7.depositphotos.com/1029178/785/i/950/depositphotos_7859857-stock-photo-little-cat-read-a-book.jpg,oliviafernandes@hotmail.com.br,Trevo Rocha,Cunha Verde
318309481787857858337020517233906156472,302687278011582104706207558134915138488,Laura da Costa,Costa,25,Pardo,Masculino,RJ,https://i.pinimg.com/736x/a9/ad/77/a9ad77698ef583b4bd0f972aa20a0519.jpg,lauradacosta@outlook.com.br,Rodovia Freitas,da Paz do Oeste
319142963245930356883730671390263870392,302686481134723536236150812416017695672,Arthur da Conceição,Conceição,23,Pardo,Feminino,SP,https://i.pinimg.com/736x/a9/ad/77/a9ad77698ef583b4bd0f972aa20a0519.jpg,arthurdaconceicao@yahoo.com.br,Quadra Maria Vitória da Costa,Moraes da Prata
320793289119457146119655744892670575544,302686481213951698752471606189409698744,Isabella Almeida,Almeida,18,Caboclo,Feminino,MA,https://i0.wp.com/www.portaldodog.com.br/cachorros/wp-content/uploads/2019/12/dogue-de-bordeaux-1047521_1280.jpg?fit=1000%2C666&ssl=1&resize=1280%2C720,isabellaalmeida@hotmail.com.br,Campo Pedro Henrique da Mota,da Paz de Minas
322257043366064782270486402943590597560,302686481134723536236150812416017695672,Diogo Azevedo,Azevedo,27,Mulato,Feminino,AM,https://static7.depositphotos.com/1029178/785/i/950/depositphotos_7859857-stock-photo-little-cat-read-a-book.jpg,diogoazevedo@live.com.br,Largo Lívia Ramos,Azevedo
323202346264287475787429079434005840824,302686481213951698752471606189409698744,Francisco Gonçalves,Gonçalves,14,Cafuzo,Feminino,SP,https://i.pinimg.com/736x/57/c1/fb/57c1fb34f435bb21c86cfd3ab4d46d7a.jpg,franciscogoncalves@instituicao.com.br,Fazenda Araújo,Rodrigues Grande
324269538442183701899854067660518327224,302686481134723536236150812416017695672,Bernardo Rezende,Rezende,23,Branco,Masculino,RJ,https://i0.wp.com/www.portaldodog.com.br/cachorros/wp-content/uploads/2019/12/dogue-de-bordeaux-1047521_1280.jpg?fit=1000%2C666&ssl=1&resize=1280%2C720,bernardorezende@yahoo.com.br,Vila de Freitas,das Neves Grande
324728269344684967386368062514761302968,302687278011582104706207558134915138488,Marcos Vinicius da Rosa,Rosa,22,Indígena,Feminino,SP,https://i0.wp.com/www.portaldodog.com.br/cachorros/wp-content/uploads/2019/12/dogue-de-bordeaux-1047521_1280.jpg?fit=1000%2C666&ssl=1&resize=1280%2C720,marcosviniciusdarosa@outlook.com.br,Pátio de Monteiro,Fogaça da Serra
325474600537045237789558576687803007928,302686481213951698752471606189409698744,Larissa Ribeiro,Ribeiro,20,Branco,Masculino,PI,https://static7.depositphotos.com/1029178/785/i/950/depositphotos_7859857-stock-photo-little-cat-read-a-book.jpg,larissaribeiro@live.com.br,Viela da Rocha,Cunha das Flores
