idReponsvel,idAluno,grauParentestco,telefone,nome
319120681038503960719604138216098366391,319117509931299327290553680231638762423,1º,(071) 5603 2791,Raul Freitas
319476442901137237531686368450936308663,319470870467554959265676434797668598711,2º,+55 31 1532 3331,Davi Luiz Mendes
320197391608616488040618635402810753975,320194221689834292325592914016573064119,3º,(071) 1847 7805,Joana Sales
320571347584945865543816416199061013431,320567389742087465469821033779183223735,2º,0300-457-2558,Júlia Nunes
321262220885793888735231666426241876919,321258272233402340315912674181367727031,3º,+55 51 2224 1947,Thiago Aragão
321671033688362229404426896504820859831,321667863928036358717165927218878350263,3º,(011) 9504 4014,Yago da Cruz
322275544647574228817381597428484146103,322273167802698800884046383750356140983,3º,+55 (021) 4232 7786,João Miguel Martins
322901452281267480509007160002100855735,322897485168714066267502631545225872311,3º,71 2352 4179,Sophie Azevedo
323377608863516620837028484668260090807,323375230750990592680145642781057221559,2º,+55 41 7483-7581,Pedro Santos
323817325403155275454056200874395698103,323814168081650919508493708918033482679,1º,51 0837 2161,Mariana Mendes
324188904613837387538752529463947559863,324186528561243584753490906971961033655,1º,0900 105 5523,Srta. Sophia Melo
324859971666338469795459495680935199671,324856018022572682972485143231667110839,1º,84 5544-1068,Dra. Maria Luiza da Luz
325176879800390263830038936125947773879,325172919580686988325327386580269401015,3º,+55 (031) 0206-0257,Kamilly Alves
325693447895352242399471649441959904183,325690278848079834339961747824871474103,1º,+55 (071) 3706 2251,Srta. Raquel da Paz
326270231295300962200926236225638237111,326267063436450991857870763205738103735,1º,0900 181 4788,Davi Lopes
326667165974060676818300863126123578295,326663199812245212746781687289963873207,3º,(071) 7761 0161,João Miguel Costa
327353279088448517982361721457466409911,327350108456612859639417173316255089591,3º,(071) 0634 3090,Erick Ribeiro
327685244376329822930212970450716459959,327682075883654552468854730503986873271,2º,84 0138-1113,Maria Luiza Teixeira
328062370509125883692486552659826049975,328059201382625313118164000194561311671,1º,(061) 0260-0943,Daniel Souza
328414153771122181688228164862319264695,328410973869591509174851916000924009399,3º,+55 (084) 3415 4136,Mariane Souza
328917242461882958406389772775340639159,328914865696235692991105298077468328887,1º,(051) 7958-9701,Júlia Vieira
329472631722651626385460882641655169975,329469462913063705868719786957201474487,3º,71 7005 4026,Luiz Gustavo Costa
329951961551265788030009963274333062071,329948792266308892427572503837745087415,2º,0500 637 4332,Rafael Souza
330578657029807081566157327603230573495,330575487031796723338262821557980365751,2º,31 8311 6048,Dr. João Gabriel Araújo
330946275783101430606905530197211349943,330943107052741672605984484302581400503,1º,31 8426-7749,Eloah Teixeira
331332908106976765377120263761780016055,331329738980476194801833940976257991607,3º,+55 (011) 0118-1297,Dra. Clarice Freitas
331644275023342311764976343081199862711,331641106372210716277513208971837834167,2º,21 6760 9424,Isabel Araújo
332221058740203681628226348522024469431,332215512293458708036629466906102072247,2º,81 5889 5822,Maria Vitória Caldeira
332522142474900176620555025121064256439,332518955997432015421760730892813468599,3º,11 4497 5795,Lorenzo Farias
332878649716086387632961420748564726711,332876273346579934787753951671397647287,3º,0300-933-2142,Levi Souza
333349265872930905451067502482382128055,333346097063342984937179155686890931127,3º,84 4525 3768,Maria Eduarda Nogueira
333693908776008767892751538407612875703,333689946337916941992187372749071844279,1º,+55 (081) 2105 9520,Paulo Cunha
334126499534710889575289586793083831223,334123332785055194429186518410196157367,3º,11 8153-8429,Sr. Calebe Cavalcanti
